node,PC,AC,MPS3,MPS4,w
0,0.7160493827160495,0.6,0.033112582781456956,0.0,0.4730422696427112
1,0.7654320987654322,0.6,0.019867549668874173,0.0,0.4901463494399477
2,0.82,0.6666666666666666,0.006622516556291391,0.0,0.5293245033112584
3,0.8402366863905325,0.8666666666666667,0.06622516556291391,0.0,0.6093397076687957
4,0.76,0.6666666666666666,0.033112582781456956,0.0,0.5106225165562914
5,0.7551020408163265,0.9333333333333333,0.052980132450331126,0.0,0.5926368428165968
6,0.7272727272727273,0.7333333333333333,0.019867549668874173,0.0,0.5148826008428659
7,0.7768595041322314,0.7333333333333333,0.026490066225165563,0.0,0.5360418148979256
8,0.7654320987654322,0.6,0.039735099337748346,0.0,0.49411985937372255
9,0.8165680473372781,0.8666666666666667,0.026490066225165563,0.0,0.5919252321799444
10,0.7107438016528926,0.7333333333333333,0.039735099337748346,0.3333333333333333,0.54557787386204
11,0.75,0.5333333333333333,0.026490066225165563,0.0,0.46529801324503317
12,0.8,0.6666666666666666,0.033112582781456956,0.0,0.5266225165562914
13,0.7755102040816326,0.4666666666666667,0.019867549668874173,0.0,0.45417759156642784
14,0.6172839506172839,0.6,0.033112582781456956,0.0,0.43353609680320493
15,0.76,0.6666666666666666,0.033112582781456956,0.0,0.5106225165562914
16,0.7768595041322315,0.7333333333333333,0.039735099337748346,0.3333333333333333,0.5720241548537756
17,0.7407407407407407,0.6,0.039735099337748346,0.0,0.4842433161638459
18,0.7272727272727273,0.7333333333333333,0.019867549668874173,0.0,0.5148826008428659
19,0.7407407407407407,0.6,0.019867549668874173,0.0,0.4802698062300711
20,0.72,0.6666666666666666,0.019867549668874173,0.0,0.4919735099337748
21,0.8444444444444444,1.0,0.09933774834437085,0.3333333333333333,0.6909786607799853
22,0.7901234567901234,0.6,0.026490066225165563,0.0,0.5013473959610825
23,0.72,0.3333333333333333,0.0,0.0,0.38799999999999996
24,0.8148148148148149,0.6,0.039735099337748346,0.0,0.5138729457934755
25,0.7,0.6666666666666666,0.013245033112582781,0.0,0.48264900662251653
26,0.6122448979591837,0.4666666666666667,0.013245033112582781,0.0,0.38754696580619
27,0.5185185185185186,0.6,0.019867549668874173,0.0,0.39138091734118224
28,0.6419753086419753,0.6,0.026490066225165563,0.0,0.44208813670182323
29,0.6938775510204083,0.4666666666666667,0.0,0.0,0.4175510204081633
30,0.8165680473372781,0.8666666666666667,0.033112582781456956,0.0,0.5932497354912027
31,0.859504132231405,0.7333333333333333,0.026490066225165563,0.0,0.5690996661375951
32,0.78,0.6666666666666666,0.033112582781456956,0.0,0.5186225165562914
33,0.6172839506172839,0.6,0.026490066225165563,0.0,0.43221159349194666
34,0.76,0.6666666666666666,0.006622516556291391,0.0,0.5053245033112583
35,0.7654320987654322,0.6,0.019867549668874173,0.0,0.4901463494399477
36,0.8125,0.5333333333333333,0.019867549668874173,0.0,0.4889735099337748
37,0.78125,0.5333333333333333,0.0,0.0,0.47250000000000003
38,0.6938775510204083,0.4666666666666667,0.026490066225165563,0.0,0.42284903365319637
39,0.6666666666666667,0.4,0.013245033112582781,0.0,0.38931567328918326
40,0.7107438016528926,0.7333333333333333,0.033112582781456956,0.0,0.5109200372174485
41,0.7755102040816326,0.4666666666666667,0.013245033112582781,0.0,0.45285308825516957
42,0.8163265306122449,0.9333333333333333,0.059602649006622516,0.6666666666666666,0.6851178087128891
43,0.5800000000000001,0.6666666666666666,0.046357615894039736,0.3333333333333333,0.47460485651214135
44,0.6599999999999999,0.6666666666666666,0.052980132450331126,0.0,0.4745960264900662
45,0.6666666666666667,1.0,0.08609271523178808,0.3333333333333333,0.6172185430463576
46,0.8163265306122449,0.4666666666666667,0.006622516556291391,0.0,0.4678551155561563
47,0.8,0.6666666666666666,0.033112582781456956,0.0,0.5266225165562914
48,0.6938775510204083,0.4666666666666667,0.013245033112582781,0.0,0.4202000270306798
49,0.82,0.6666666666666666,0.019867549668874173,0.0,0.5319735099337749
50,0.6944444444444444,0.8,0.039735099337748346,0.0,0.5257247976453274
51,0.7361111111111112,0.8,0.06622516556291391,0.3333333333333333,0.5810228108903606
52,0.5800000000000001,0.6666666666666666,0.026490066225165563,0.0,0.43729801324503315
53,0.5625,0.5333333333333333,0.013245033112582781,0.0,0.38764900662251656
54,0.7822222222222223,1.0,0.052980132450331126,0.0,0.6234849153789551
55,0.6942148760330579,0.7333333333333333,0.033112582781456956,0.0,0.5043084669695145
56,0.7777777777777778,0.8,0.0728476821192053,0.3333333333333333,0.5990139808682855
57,0.6938775510204083,0.4666666666666667,0.019867549668874173,0.0,0.4215245303419381
58,0.72,0.3333333333333333,0.0,0.0,0.38799999999999996
59,0.743801652892562,0.7333333333333333,0.013245033112582781,0.0,0.5201696677795413
60,0.7407407407407407,0.6,0.046357615894039736,0.0,0.48556781947510425
61,0.31999999999999984,0.3333333333333333,0.013245033112582781,0.0,0.23064900662251647
62,0.625,0.8,0.059602649006622516,0.0,0.5019205298013245
63,0.8472222222222222,0.8,0.033112582781456956,0.0,0.5855114054451803
64,0.76,0.6666666666666666,0.026490066225165563,0.0,0.5092980132450331
65,0.8163265306122449,0.4666666666666667,0.019867549668874173,0.0,0.4705041221786728
66,0.71875,0.5333333333333333,0.033112582781456956,0.0,0.4541225165562914
67,0.6611570247933884,0.7333333333333333,0.033112582781456956,0.0,0.4910853264736467
68,0.5277777777777778,0.8,0.033112582781456956,0.0,0.4577336276674025
69,0.8165680473372781,0.8666666666666667,0.052980132450331126,0.3333333333333333,0.6305565787583108
70,0.78125,0.5333333333333333,0.013245033112582781,0.0,0.4751490066225166
71,0.6122448979591837,0.4666666666666667,0.006622516556291391,0.0,0.38622246249493175
72,0.72,0.3333333333333333,0.006622516556291391,0.0,0.38932450331125823
73,0.7,0.6666666666666666,0.013245033112582781,0.0,0.48264900662251653
74,0.64,0.6666666666666666,0.019867549668874173,0.0,0.4599735099337748
75,0.82,0.6666666666666666,0.046357615894039736,0.0,0.537271523178808
76,0.8571428571428572,0.9333333333333333,0.052980132450331126,0.0,0.6334531693472091
77,0.7755102040816326,0.4666666666666667,0.026490066225165563,0.0,0.4555020948776861
78,0.72,0.3333333333333333,0.006622516556291391,0.0,0.38932450331125823
79,0.7160493827160495,0.6,0.026490066225165563,0.0,0.4717177663314529
80,0.76,0.6666666666666666,0.019867549668874173,0.0,0.5079735099337749
81,0.7160493827160495,0.6,0.019867549668874173,0.0,0.47039326302019463
82,0.7040816326530612,0.9333333333333333,0.06622516556291391,0.0,0.5748776861738072
83,0.7361111111111112,0.8,0.052980132450331126,0.0,0.5450404709345107
84,0.743801652892562,0.7333333333333333,0.059602649006622516,0.0,0.5294411909583493
85,0.826530612244898,0.9333333333333333,0.059602649006622516,0.0,0.6225327746992837
86,0.5185185185185186,0.6,0.013245033112582781,0.0,0.39005641402992397
87,0.8099173553719008,0.7333333333333333,0.033112582781456956,0.0,0.5505894587050517
88,0.6666666666666667,0.4,0.006622516556291391,0.0,0.387991169977925
89,0.75,0.26666666666666666,0.006622516556291391,0.0,0.38132450331125833
90,0.7346938775510204,0.4666666666666667,0.0,0.0,0.43387755102040815
91,0.6419753086419753,0.6,0.033112582781456956,0.0,0.4434126400130815
92,0.8264462809917356,0.7333333333333333,0.019867549668874173,0.0,0.5545520223304691
93,0.8055555555555556,0.8,0.052980132450331126,0.0,0.5728182487122884
94,0.5277777777777778,0.8,0.052980132450331126,0.3333333333333333,0.4950404709345107
95,0.5619834710743802,0.7333333333333333,0.052980132450331126,0.3333333333333333,0.4887227482531516
96,0.5185185185185186,0.6,0.013245033112582781,0.0,0.39005641402992397
97,0.82,0.6666666666666666,0.026490066225165563,0.0,0.5332980132450331
98,0.7933884297520661,0.7333333333333333,0.046357615894039736,0.0,0.5466268950796344
99,0.8163265306122449,0.4666666666666667,0.0,0.0,0.466530612244898
